dataset,seed,b,contraction,num_sets,universe,elements,baseline_bits,ceb_bits,baseline_bpe,ceb_bpe,H_bpe,L_bpe,saving_pct,baseline_total_bpe,ceb_total_bpe,total_saving_pct,ceb_build_ms,base_build_ms,max_depth,mean_depth,ceb_retrieve_us,ceb_rank_us,base_retrieve_us,base_rank_us,all_ok,num_ret,num_rank
nested,42,16,0,64,480,8714,25161,6226,2.8874,0.7145,2.1351,0.2808,75.2554,13.9459,10.3090,26.0786,3.7510,0.9360,63,31.5000,7.7720,11.3535,0.6560,0.8790,1,2000,2000
nested,42,16,1,64,480,8714,25161,12591,2.8874,1.4449,2.1351,1.0718,49.9583,13.9459,11.6938,16.1489,4.1490,0.9320,6,3.0781,0.8755,1.5530,0.6590,0.8845,1,2000,2000
nested,42,32,0,64,480,8714,22538,6104,2.5864,0.7005,2.1351,0.2808,72.9169,13.1193,10.5434,19.6349,3.6350,0.9600,63,31.5000,7.6980,14.1640,0.6450,1.0480,1,2000,2000
nested,42,32,1,64,480,8714,22538,11962,2.5864,1.3727,2.1351,1.0718,46.9252,13.1193,11.5227,12.1700,4.0900,0.9870,6,3.0781,0.8075,2.1385,0.6320,1.0390,1,2000,2000
nested,42,64,0,64,480,8714,21564,7208,2.4746,0.8272,2.1351,0.2808,66.5739,12.7434,11.0650,13.1711,3.7940,1.4070,63,31.5000,7.7550,19.8910,0.6920,1.4025,1,2000,2000
nested,42,64,1,64,480,8714,21564,12533,2.4746,1.4383,2.1351,1.0718,41.8800,12.7434,11.7124,8.0903,3.9890,1.0790,6,3.0781,0.8060,2.9775,0.6245,1.4050,1,2000,2000
nested,101,4,0,64,480,9444,31901,9588,3.3779,1.0152,2.0754,0.2615,69.9445,15.6816,10.9216,30.3538,3.8810,1.2750,63,31.5000,8.0945,9.1760,0.7170,0.8000,1,2000,2000
nested,101,4,1,64,480,9444,31901,16152,3.3779,1.7103,2.0754,1.0763,49.3684,15.6816,12.4704,20.4778,4.1010,0.8510,6,2.8438,0.8055,1.2235,0.9270,0.8080,1,2000,2000
nested,101,8,0,64,480,9444,27737,7530,2.9370,0.7973,2.0754,0.2615,72.8521,13.6524,10.3148,24.4468,4.0260,0.8940,63,31.5000,9.9735,15.8080,0.8565,1.0465,1,2000,2000
nested,101,8,1,64,480,9444,27737,14589,2.9370,1.5448,2.0754,1.0763,47.4024,13.6524,11.6077,14.9768,6.2790,0.9590,6,2.8438,0.8680,1.3195,0.6785,0.8910,1,2000,2000
nested,101,16,0,64,480,9444,25661,6427,2.7172,0.6805,2.0754,0.2615,74.9542,13.7007,10.2857,24.9256,4.3030,1.1750,63,31.5000,9.0050,12.1690,0.6290,0.8800,1,2000,2000
nested,101,16,1,64,480,9444,25661,13545,2.7172,1.4342,2.0754,1.0763,47.2156,13.7007,11.7370,14.3327,4.6650,1.1320,6,2.8438,0.7865,1.5150,0.6295,0.9120,1,2000,2000
nested,101,32,0,64,480,9444,23249,6226,2.4618,0.6593,2.0754,0.2615,73.2204,12.9573,10.4627,19.2524,4.3760,1.5190,63,31.5000,8.4470,14.8225,0.7690,1.3965,1,2000,2000
